
00:04:40        23
00:24:41        24
00:44:42        26
01:04:43        26
01:24:44        26
01:44:45        25
02:04:46        26
02:24:47        27
02:44:48        26
03:04:49        26
03:24:50        27
03:44:51        24
04:04:52        27
04:24:53        26
04:44:54        27
05:04:55        25
05:24:56        23
05:44:57        24
06:04:58        24
06:24:59        25
06:45:00        25
07:05:01        26
07:25:02        24
07:45:03        25
08:05:04        25
08:25:05        25
08:45:06        25
09:05:07        23
09:25:08        23
09:45:09        26
10:05:10        23
10:25:11        26
10:45:12        24
11:05:13        22
11:25:14        22
11:45:15        22
12:05:16        22
12:25:17        23
12:45:18        24
13:05:19        22
13:25:20        25
13:45:21        24
14:05:22        22
14:25:23        21
14:45:24        
15:05:25        24
15:25:26        24
15:45:27        23
16:05:28        23
16:25:29        21
16:45:30        21
17:05:31        22
17:25:32        22
17:45:33        25
18:05:34        22
18:25:35        24
18:45:36        22
19:05:37        24
19:25:38        23
19:45:39        22
20:05:40        21
20:25:41        23
20:45:42        20
21:05:43        24
21:25:44        24
21:45:45        24
22:05:46        24
22:25:47        23
22:45:48        23
23:05:49        23
23:25:50        24
